AudioSentence,Frase,Item,Condition,Group,Type
DIST1.wav,O aluno tinha todos os livros.,25,DIST1,B,Filler
DIST2.wav,A secretária escreveu a mensagem.,26,DIST2,B,Filler
DIST3.wav,O contador disse que alguém faltou.,27,DIST3,B,Filler
DIST4.wav,A bolsa será cortada se o aluno reprovar todas as disciplinas.,28,DIST4,B,Filler
DIST5.wav,O novo cozinheiro comprou feijão.,29,DIST5,B,Filler
DIST6.wav,A aluna escreve boas redações.,30,DIST6,B,Filler
DIST7.wav,A filha é suspeita da morte da mãe.,31,DIST7,B,Filler
DIST8.wav,Maria costurava meias.,32,DIST8,B,Filler
DIST9.wav,Um navio brasileiro entrava na baía.,33,DIST9,B,Filler
DIST10.wav,A professora estava doente.,34,DIST10,B,Filler
DIST11.wav,O locutor anunciou algo no jornal da TV.,35,DIST11,B,Filler
DIST12.wav,O policial viu o turista ontem.,36,DIST12,B,Filler
DIST13.wav,O aluno abraçou o amigo.,37,DIST13,B,Filler
DIST14.wav,O professor escreveu a tese.,38,DIST14,B,Filler
DIST15.wav,A mãe fez um bolo.,39,DIST15,B,Filler
DIST16.wav,O professor usava o computador.,40,DIST16,B,Filler
DIST17.wav,A atriz perdeu o prêmio.,41,DIST17,B,Filler
DIST18.wav,Apenas a casa está à venda.,42,DIST18,B,Filler
DIST19.wav,O ladrão catava o lixo.,43,DIST19,B,Filler
DIST20.wav,A mulher encontrava o ator.,44,DIST20,B,Filler
DIST21.wav,Destranca o armário de madeira.,45,DIST21,B,Filler
DIST22.wav,Eu evito sair de casa sem documento.,46,DIST22,B,Filler
DIST23.wav,Não gostei do assunto sobre o qual o professor falou.,47,DIST23,B,Filler
DIST24.wav,Marina brincava no parque.,48,DIST24,B,Filler
DIST25.wav,Marina tirou o quadro da parede.,49,DIST25,B,Filler
DIST26.wav,O gato arranhou a mão do vizinho.,50,DIST26,B,Filler
DIST27.wav,Apenas o diretor estava no evento.,51,DIST27,B,Filler
DIST28.wav,O empregado sujava a janela.,52,DIST28,B,Filler
DIST29.wav,O jogo de voleibol acabou em briga.,53,DIST29,B,Filler
DIST30.wav,A menina pulava corda com as amigas.,54,DIST30,B,Filler
DIST31.wav,O pastor protestante ajudou o estofador no altar.,55,DIST31,B,Filler
DIST32.wav,Renata jogava basquete com os amigos.,56,DIST32,B,Filler
SA1.wav,O senador atacava o repórter.,1,SA1,C,Experimental
OA2.wav,A diretora visitava a atriz.,2,OA2,C,Experimental
SB3.wav,A cantora adorava o maestro.,3,SB3,C,Experimental
OB4.wav,A vizinha procurava a criança.,4,OB4,C,Experimental
SS5.wav,O caçador observava o guarda.,5,SS5,C,Experimental
OS6.wav,O fazendeiro saudava o camponês.,6,OS6,C,Experimental
SA7.wav,O dentista perturbava o cliente.,7,SA7,C,Experimental
OA8.wav,O agente confrontava o detento.,8,OA8,C,Experimental
SB9.wav,O editor detestava a modelo.,9,SB9,C,Experimental
OB10.wav,O pedreiro olhava o encanador.,10,OB10,C,Experimental
SS11.wav,O escritor subornava o músico.,11,SS11,C,Experimental
OS12.wav,A cozinheira namorava o garçom.,12,OS12,C,Experimental
SA13.wav,O zagueiro odiava o goleiro.,13,SA13,C,Experimental
OA14.wav,O hóspede insultava o gerente.,14,OA14,C,Experimental
SB15.wav,O técnico xingava o jogador.,15,SB15,C,Experimental
OB16.wav,O ladrão intimidava o porteiro.,16,OB16,C,Experimental
SS17.wav,O paciente chamava o médico.,17,SS17,C,Experimental
OS18.wav,O pescador ajudava o feirante.,18,OS18,C,Experimental
SA19.wav,O passageiro puxava o piloto.,19,SA19,C,Experimental
OA20.wav,O promotor irritava o banqueiro.,20,OA20,C,Experimental
SB21.wav,O artista inspirava o produtor.,21,SB21,C,Experimental
OB22.wav,O prefeito amava a assistente.,22,OB22,C,Experimental
SS23.wav,O aluno criticava o professor.,23,SS23,C,Experimental
OS24.wav,O soldado exaltava o sargento.,24,OS24,C,Experimental
DIST1.wav,O aluno tinha todos os livros.,25,DIST1,C,Filler
DIST2.wav,A secretária escreveu a mensagem.,26,DIST2,C,Filler
DIST3.wav,O contador disse que alguém faltou.,27,DIST3,C,Filler
DIST4.wav,A bolsa será cortada se o aluno reprovar todas as disciplinas.,28,DIST4,C,Filler
DIST5.wav,O novo cozinheiro comprou feijão.,29,DIST5,C,Filler
DIST6.wav,A aluna escreve boas redações.,30,DIST6,C,Filler
DIST7.wav,A filha é suspeita da morte da mãe.,31,DIST7,C,Filler
DIST8.wav,Maria costurava meias.,32,DIST8,C,Filler
DIST9.wav,Um navio brasileiro entrava na baía.,33,DIST9,C,Filler
DIST10.wav,A professora estava doente.,34,DIST10,C,Filler
DIST11.wav,O locutor anunciou algo no jornal da TV.,35,DIST11,C,Filler
DIST12.wav,O policial viu o turista ontem.,36,DIST12,C,Filler
DIST13.wav,O aluno abraçou o amigo.,37,DIST13,C,Filler
DIST14.wav,O professor escreveu a tese.,38,DIST14,C,Filler
DIST15.wav,A mãe fez um bolo.,39,DIST15,C,Filler
DIST16.wav,O professor usava o computador.,40,DIST16,C,Filler
DIST17.wav,A atriz perdeu o prêmio.,41,DIST17,C,Filler
DIST18.wav,Apenas a casa está à venda.,42,DIST18,C,Filler
DIST19.wav,O ladrão catava o lixo.,43,DIST19,C,Filler
DIST20.wav,A mulher encontrava o ator.,44,DIST20,C,Filler
DIST21.wav,Destranca o armário de madeira.,45,DIST21,C,Filler
DIST22.wav,Eu evito sair de casa sem documento.,46,DIST22,C,Filler
DIST23.wav,Não gostei do assunto sobre o qual o professor falou.,47,DIST23,C,Filler
DIST24.wav,Marina brincava no parque.,48,DIST24,C,Filler
DIST25.wav,Marina tirou o quadro da parede.,49,DIST25,C,Filler
DIST26.wav,O gato arranhou a mão do vizinho.,50,DIST26,C,Filler
DIST27.wav,Apenas o diretor estava no evento.,51,DIST27,C,Filler
DIST28.wav,O empregado sujava a janela.,52,DIST28,C,Filler
DIST29.wav,O jogo de voleibol acabou em briga.,53,DIST29,C,Filler
DIST30.wav,A menina pulava corda com as amigas.,54,DIST30,C,Filler
DIST31.wav,O pastor protestante ajudou o estofador no altar.,55,DIST31,C,Filler
DIST32.wav,Renata jogava basquete com os amigos.,56,DIST32,C,Filler
OA1.wav,O repórter atacava o senador.,1,OA1,D,Experimental
SB2.wav,A atriz visitava a diretora.,2,SB2,D,Experimental
OB3.wav,O maestro adorava a cantora.,3,OB3,D,Experimental
SS4.wav,A criança procurava a vizinha.,4,SS4,D,Experimental
OS5.wav,O guarda observava o caçador.,5,OS5,D,Experimental
SA6.wav,O camponês saudava o fazendeiro.,6,SA6,D,Experimental
OA7.wav,O cliente perturbava o dentista.,7,OA7,D,Experimental
SB8.wav,O detento confrontava o agente.,8,SB8,D,Experimental
OB9.wav,A modelo detestava o editor.,9,OB9,D,Experimental
SS10.wav,O encanador olhava o pedreiro.,10,SS10,D,Experimental
OS11.wav,O músico subornava o escritor.,11,OS11,D,Experimental
SA12.wav,O garçom namorava a cozinheira.,12,SA12,D,Experimental
OA13.wav,O goleiro odiava o zagueiro.,13,OA13,D,Experimental
SB14.wav,O gerente insultava o hóspede.,14,SB14,D,Experimental
OB15.wav,O jogador xingava o técnico.,15,OB15,D,Experimental
SS16.wav,O porteiro intimidava o ladrão.,16,SS16,D,Experimental
OS17.wav,O médico chamava o paciente.,17,OS17,D,Experimental
SA18.wav,O feirante ajudava o pescador.,18,SA18,D,Experimental
OA19.wav,O piloto puxava o passageiro.,19,OA19,D,Experimental
SB20.wav,O banqueiro irritava o promotor.,20,SB20,D,Experimental
